brand,model,note,asin,date,price
LG,38BK95C-W,,B07CMGQC76,2018-11-25 04:40:00,1394.52
LG,38BK95C-W,,B07CMGQC76,2018-11-25 07:36:00,1394.51
LG,38BK95C-W,,B07CMGQC76,2018-11-25 09:38:00,1394.5
LG,38BK95C-W,,B07CMGQC76,2018-11-25 11:16:00,1394.49
LG,38BK95C-W,,B07CMGQC76,2018-11-25 12:56:00,1394.48
LG,38BK95C-W,,B07CMGQC76,2018-11-25 14:40:00,1394.47
LG,38BK95C-W,,B07CMGQC76,2018-11-25 16:20:00,1394.46
LG,38BK95C-W,,B07CMGQC76,2018-11-25 17:08:00,1394.45
LG,38BK95C-W,,B07CMGQC76,2018-11-25 20:32:00,1394.43
LG,38BK95C-W,,B07CMGQC76,2018-11-25 23:36:00,1394.42
LG,38BK95C-W,,B07CMGQC76,2018-11-26 01:16:00,1394.41
LG,38BK95C-W,,B07CMGQC76,2018-11-26 02:54:00,1394.4
LG,38BK95C-W,,B07CMGQC76,2018-11-26 04:34:00,1394.39
LG,38BK95C-W,,B07CMGQC76,2018-11-26 06:12:00,1394.6
LG,38BK95C-W,,B07CMGQC76,2018-11-26 17:28:00,1393.7
LG,38BK95C-W,,B07CMGQC76,2018-11-26 18:22:00,1393.69
LG,38BK95C-W,,B07CMGQC76,2018-11-26 19:56:00,1393.68
LG,38BK95C-W,,B07CMGQC76,2018-11-26 20:48:00,1393.7
LG,38BK95C-W,,B07CMGQC76,2018-11-26 23:24:00,1393.67
LG,38BK95C-W,,B07CMGQC76,2018-11-27 01:04:00,1393.66
LG,38BK95C-W,,B07CMGQC76,2018-11-27 01:54:00,1393.65
LG,38BK95C-W,,B07CMGQC76,2018-11-27 02:44:00,1393.7
LG,38BK95C-W,,B07CMGQC76,2018-11-27 16:04:00,1393.69
LG,38BK95C-W,,B07CMGQC76,2018-11-27 17:48:00,1393.68
LG,38BK95C-W,,B07CMGQC76,2018-11-27 18:40:00,1393.67
LG,38BK95C-W,,B07CMGQC76,2018-11-27 21:56:00,1393.66
LG,38BK95C-W,,B07CMGQC76,2018-11-27 23:38:00,1393.65
LG,38BK95C-W,,B07CMGQC76,2018-11-28 01:56:00,1393.64
LG,38BK95C-W,,B07CMGQC76,2018-11-28 03:48:00,1393.63
LG,38BK95C-W,,B07CMGQC76,2018-11-28 07:34:00,1393.62
LG,38BK95C-W,,B07CMGQC76,2018-11-28 08:16:00,1393.61
LG,38BK95C-W,,B07CMGQC76,2018-11-28 11:00:00,1393.6
LG,38BK95C-W,,B07CMGQC76,2018-11-28 12:46:00,1393.59
LG,38BK95C-W,,B07CMGQC76,2018-11-28 16:28:00,1393.56
LG,38BK95C-W,,B07CMGQC76,2018-11-28 20:00:00,1393.55
LG,38BK95C-W,,B07CMGQC76,2018-11-28 21:28:00,1393.54
LG,38BK95C-W,,B07CMGQC76,2018-11-29 05:12:00,1393.53
LG,38BK95C-W,,B07CMGQC76,2018-11-29 06:52:00,1393.69
LG,38BK95C-W,,B07CMGQC76,2018-11-29 11:16:00,1393.67
LG,38BK95C-W,,B07CMGQC76,2018-11-29 12:12:00,1393.66
LG,38BK95C-W,,B07CMGQC76,2018-11-29 13:00:00,1393.65
LG,38BK95C-W,,B07CMGQC76,2018-11-29 16:36:00,857.99
LG,38BK95C-W,,B07CMGQC76,2018-11-29 19:00:00,1393.62
LG,38BK95C-W,,B07CMGQC76,2018-11-29 22:36:00,1393.61
LG,38BK95C-W,,B07CMGQC76,2018-11-30 00:12:00,1393.6
LG,38BK95C-W,,B07CMGQC76,2018-11-30 01:52:00,1393.59
LG,38BK95C-W,,B07CMGQC76,2018-11-30 04:26:00,1393.58
LG,38BK95C-W,,B07CMGQC76,2018-11-30 06:04:00,1393.57
LG,38BK95C-W,,B07CMGQC76,2018-11-30 07:48:00,1393.56
LG,38BK95C-W,,B07CMGQC76,2018-11-30 09:20:00,1393.55
LG,38BK95C-W,,B07CMGQC76,2018-11-30 12:04:00,1393.54
LG,38BK95C-W,,B07CMGQC76,2018-11-30 13:46:00,1393.53
LG,38BK95C-W,,B07CMGQC76,2018-11-30 15:28:00,1393.61
LG,38BK95C-W,,B07CMGQC76,2018-11-30 17:00:00,1393.6
LG,38BK95C-W,,B07CMGQC76,2018-11-30 18:44:00,1393.59
